City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
544,Dubrovnik,HR,42.6481,18.0922,55.04,76,40,8.05,scattered clouds
545,Korem,ET,12.5058,39.5228,47.95,54,45,1.52,scattered clouds
546,Mokhsogollokh,RU,61.4681,128.9203,-14.19,98,100,2.98,overcast clouds
547,Sambava,MG,-14.2667,50.1667,75.29,85,29,10.54,scattered clouds
548,Hagersville,CA,42.9668,-80.0497,42.12,57,100,9.93,overcast clouds
549,Otane,NZ,-39.8833,176.6333,71.94,41,86,2.89,overcast clouds
550,Ambon,ID,-3.6954,128.1814,77.23,15,40,6.91,scattered clouds
551,Yol,IN,32.1667,76.2,55.83,29,100,4.47,overcast clouds
552,Novoagansk,RU,61.9449,76.6625,6.4,97,93,7.99,overcast clouds
553,Solnechnyy,RU,50.7214,136.6319,-3.23,90,81,4.54,broken clouds
554,Kayerkan,RU,69.3497,87.7602,24.53,100,100,16.02,snow
555,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,84,89,20.4,overcast clouds
556,Bonfim,BR,3.0833,-59.95,89.55,69,89,1.88,overcast clouds
557,Portel,BR,-1.9356,-50.8211,75.11,85,87,3.62,overcast clouds
558,Hovd,MN,48.0056,91.6419,1.51,80,5,3.11,clear sky
559,Verkhoyansk,RU,67.5447,133.385,-16.89,99,100,2.42,overcast clouds
560,Birkeland,NO,58.3309,8.2323,25.41,87,0,4.61,clear sky
561,Key West,US,24.5557,-81.7826,84.2,62,0,10.36,clear sky
562,Caravelas,BR,-17.7125,-39.2481,72.59,85,100,5.93,overcast clouds
563,Ilulissat,GL,69.2167,-51.1,39.22,48,75,1.14,broken clouds
564,Filadelfia,US,39.9523,-75.1638,48.09,45,75,4.61,broken clouds
565,Bonavista,CA,48.6499,-53.1147,36.39,93,100,13.96,overcast clouds
566,Borazjan,IR,29.2666,51.2159,68.32,67,79,5.59,broken clouds
567,Moyale,KE,3.5167,39.0584,67.91,59,98,3.2,overcast clouds
568,North Platte,US,41.1239,-100.7654,33.69,55,100,9.22,overcast clouds
569,Martyush,RU,56.4,61.8819,-8.7,100,99,3.44,overcast clouds
570,Saskatoon,CA,52.1168,-106.6345,-9.42,77,100,6.91,overcast clouds
571,Hami,CN,42.8,93.45,22.17,37,100,2.8,overcast clouds
572,Ambilobe,MG,-13.2,49.05,75.02,85,23,1.43,few clouds
573,Tottori,JP,35.5,134.2333,46.47,61,75,11.5,broken clouds
574,Zvishavane,ZW,-20.3267,30.0665,79.03,38,82,8.93,broken clouds
575,Novobureyskiy,RU,49.798,129.8774,-2.78,96,91,6.04,overcast clouds
576,Hefei,CN,31.8639,117.2808,30.22,93,30,0.0,fog
577,Sijunjung,ID,-0.6876,100.9537,71.89,99,100,1.43,overcast clouds
578,Oranjestad,AW,12.524,-70.027,82.35,70,20,10.36,few clouds
579,Taoudenni,ML,22.6783,-3.9836,80.56,16,15,3.8,few clouds
580,Hirara,JP,24.8,125.2833,71.11,78,100,31.21,overcast clouds
581,Sumbe,AO,-11.2061,13.8437,77.23,89,89,7.45,overcast clouds
582,Fortuna,US,40.5982,-124.1573,53.65,80,100,1.01,overcast clouds
583,Trincomalee,LK,8.5711,81.2335,80.13,74,47,10.51,scattered clouds
584,Krasyliv,UA,49.6519,26.9725,26.26,85,100,13.29,overcast clouds
585,Muros,ES,42.7762,-9.0603,53.69,90,100,2.82,overcast clouds
586,Goure,NE,13.9835,10.2704,70.86,18,2,10.04,clear sky
587,Maldonado,UY,-34.6667,-54.9167,85.39,41,0,12.35,clear sky
588,Leh,IN,34.1667,77.5833,16.07,50,50,1.34,scattered clouds
589,Russell,US,32.3502,-85.1999,70.88,68,0,4.61,clear sky
590,Olga,RU,43.7444,135.2892,6.96,83,4,3.89,clear sky
591,Vredendal,ZA,-31.6683,18.5012,59.95,72,100,13.13,overcast clouds
592,Margate,GB,51.3813,1.3862,45.7,84,100,4.0,overcast clouds
593,Temerloh,MY,3.4483,102.4176,74.98,99,98,1.32,overcast clouds
594,Harboore,DK,56.6175,8.1807,38.98,63,100,7.05,overcast clouds
595,Chistogorskiy,RU,53.9835,87.3843,-4.52,99,92,1.57,overcast clouds
596,Parry Sound,CA,45.3501,-80.033,41.05,56,100,11.3,overcast clouds
597,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.84,86,24,11.92,few clouds
598,Nyurba,RU,63.2842,118.3319,-6.41,97,100,6.02,overcast clouds
599,Oriximina,BR,-1.7656,-55.8661,79.47,78,84,1.95,broken clouds
600,Lafia,NG,8.4833,8.5167,76.17,16,22,2.57,few clouds
