City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Saint George,US,2022-12-02 02:28:31,37.1041,-113.5841,53.94,41,75,6.91
209,East London,ZA,2022-12-02 02:27:04,-33.0153,27.9116,69.87,94,87,12.53
210,Geraldton,AU,2022-12-02 02:29:24,-28.7667,114.6,75.61,50,4,13.8
211,Kavaratti,IN,2022-12-02 02:29:24,10.5669,72.642,81.18,74,1,0.25
212,Warwick,US,2022-12-02 02:24:31,41.7001,-71.4162,38.89,61,0,9.22
213,Ondjiva,AO,2022-12-02 02:29:25,-17.0667,15.7333,75.49,39,39,3.83
214,Saint Anthony,US,2022-12-02 02:29:25,45.0205,-93.218,32.14,65,0,14.97
215,Salalah,OM,2022-12-02 02:28:12,17.0151,54.0924,71.69,73,0,3.44
216,Laurel,US,2022-12-02 02:26:02,39.0993,-76.8483,38.66,65,0,3.44
217,Tuatapere,NZ,2022-12-02 02:29:25,-46.1333,167.6833,53.2,53,67,12.93
218,Camana,PE,2022-12-02 02:29:26,-16.6228,-72.7111,67.53,81,20,6.06
219,Aklavik,CA,2022-12-02 02:29:26,68.2191,-135.0107,5.74,92,100,7.54
220,Aripuana,BR,2022-12-02 02:29:26,-9.1667,-60.6333,74.41,88,99,1.88
221,Wadi Maliz,TN,2022-12-02 02:29:27,36.4681,8.5495,51.39,63,100,3.69
222,Rawson,AR,2022-12-02 02:29:27,-43.3002,-65.1023,70.03,37,20,15.35
223,Belmonte,BR,2022-12-02 02:29:27,-15.8631,-38.8828,75.7,92,100,15.01
224,Kununurra,AU,2022-12-02 02:30:27,-15.7667,128.7333,96.78,23,34,6.91
225,Kota Kinabalu,MY,2022-12-02 02:30:28,5.9749,116.0724,80.58,83,20,3.44
226,Namagiripettai,IN,2022-12-02 02:30:28,11.4667,78.2667,75.69,80,6,2.86
227,Srednekolymsk,RU,2022-12-02 02:30:28,67.45,153.6833,-28.1,93,35,8.95
228,Skibbereen,IE,2022-12-02 02:30:29,51.55,-9.2667,52.11,83,100,12.28
229,Yatou,CN,2022-12-02 02:30:29,37.15,122.3833,35.33,50,36,4.36
230,Broome,US,2022-12-02 02:30:29,42.2506,-75.833,31.19,73,100,8.05
231,Sillamae,EE,2022-12-02 02:30:29,59.3997,27.7547,23.45,80,100,8.68
232,Kimbe,PG,2022-12-02 02:30:30,-5.5502,150.1429,84.85,73,100,5.77
233,Georgetown,MY,2022-12-02 02:27:35,5.4112,100.3354,84.13,76,20,4.61
234,Bathsheba,BB,2022-12-02 02:30:30,13.2167,-59.5167,77.61,94,40,14.97
235,Alugan,PH,2022-12-02 02:30:30,12.2188,125.4808,81.93,83,100,14.45
236,Vila Franca Do Campo,PT,2022-12-02 02:30:31,37.7167,-25.4333,55.81,58,60,22.73
237,Hasaki,JP,2022-12-02 02:30:31,35.7333,140.8333,52.29,56,100,19.35
238,Iquique,CL,2022-12-02 02:30:31,-20.2208,-70.1431,66.24,76,16,1.3
239,Tyukhtet,RU,2022-12-02 02:30:31,56.5389,89.3011,-12.84,100,100,2.71
240,Necochea,AR,2022-12-02 02:30:32,-38.5473,-58.7368,53.19,88,19,5.61
241,Belaya Gora,RU,2022-12-02 02:30:32,68.5333,146.4167,-8.79,98,100,10.96
242,Jacqueville,CI,2022-12-02 02:30:32,5.2052,-4.4146,79.93,82,98,10.33
243,Dingle,PH,2022-12-02 02:29:35,10.9995,122.6711,82.2,81,92,14.79
244,Koundara,GN,2022-12-02 02:30:33,12.4833,-13.3,73.22,40,87,4.21
245,Mahebourg,MU,2022-12-02 02:30:33,-20.4081,57.7,74.25,88,20,3.44
246,Gat,IL,2022-12-02 02:30:33,31.61,34.7642,59.4,63,0,3.76
247,Chufarovo,RU,2022-12-02 02:30:34,54.0963,47.3367,12.52,92,26,3.27
248,Abbeville,FR,2022-12-02 02:30:34,50.1,1.8333,35.56,87,18,5.14
249,Sungaipenuh,ID,2022-12-02 02:30:34,-2.0833,101.3833,70.2,87,91,3.51
250,Srandakan,ID,2022-12-02 02:30:34,-7.9386,110.2506,83.62,66,47,8.55
251,Narsaq,GL,2022-12-02 02:30:35,60.9167,-46.05,23.22,71,43,4.0
252,Alta Floresta,BR,2022-12-02 02:27:58,-9.8756,-56.0861,67.86,98,100,2.84
253,Dukat,RU,2022-12-02 02:30:35,62.55,155.55,-9.44,98,90,5.79
254,Cherskiy,RU,2022-12-02 02:30:35,68.75,161.3,-24.25,100,46,5.35
255,Saint-Augustin,CA,2022-12-02 02:30:36,51.226,-58.6502,29.44,84,100,16.91
256,Nalut,LY,2022-12-02 02:30:36,30.3333,10.85,50.49,44,82,10.83
257,Pevek,RU,2022-12-02 02:30:36,69.7008,170.3133,5.95,94,100,9.84
258,Padang,ID,2022-12-02 02:30:36,-0.9492,100.3543,78.85,93,100,0.94
259,Nago,JP,2022-12-02 02:30:37,26.5881,127.9761,66.63,76,98,19.66
260,Griffith,US,2022-12-02 02:30:37,41.5284,-87.4237,34.05,64,100,14.97
261,San Cristobal,VE,2022-12-02 02:25:50,7.7669,-72.225,64.58,96,53,3.62
262,Sao Felix Do Xingu,BR,2022-12-02 02:30:37,-6.6447,-51.995,71.51,98,69,2.15
263,Dongning,CN,2022-12-02 02:30:38,44.0622,131.1207,16.95,39,0,13.38
264,Kavieng,PG,2022-12-02 02:30:38,-2.5744,150.7967,84.25,69,88,5.82
265,Norman Wells,CA,2022-12-02 02:30:38,65.282,-126.8329,6.84,78,100,9.22
266,Torbay,CA,2022-12-02 02:30:39,47.6666,-52.7314,48.27,95,100,27.63
267,Caconda,AO,2022-12-02 02:30:39,-13.7333,15.0667,59.79,94,60,1.45
268,Gayny,RU,2022-12-02 02:30:39,60.3071,54.3241,1.9,97,43,3.22
269,Chillicothe,US,2022-12-02 02:27:34,39.3331,-82.9824,28.26,78,0,5.01
270,Bengkulu,ID,2022-12-02 02:28:54,-3.8004,102.2655,79.11,80,100,4.03
271,Anadyr,RU,2022-12-02 02:31:40,64.75,177.4833,34.3,86,75,8.95
272,Norden,DE,2022-12-02 02:31:40,53.6,7.2,36.0,93,100,12.62
273,Polohy,UA,2022-12-02 02:31:40,47.4844,36.2536,30.34,54,100,17.45
274,Kaniama,CD,2022-12-02 02:31:40,-7.5667,24.1833,64.45,99,100,2.21
275,Jiuquan,CN,2022-12-02 02:31:41,39.7432,98.5174,19.6,57,95,3.33
276,Huancavelica,PE,2022-12-02 02:31:41,-12.7667,-74.9833,36.03,63,1,7.43
277,Luderitz,NA,2022-12-02 02:31:41,-26.6481,15.1594,62.67,84,0,22.21
278,Roald,NO,2022-12-02 02:31:41,62.5833,6.1333,38.75,75,1,12.66
279,Tulun,RU,2022-12-02 02:31:42,54.5611,100.5792,-2.04,82,100,9.98
280,Bredasdorp,ZA,2022-12-02 02:31:42,-34.5322,20.0403,62.49,78,97,11.72
281,Laguna,US,2022-12-02 02:31:42,38.421,-121.4238,47.17,91,0,5.75
282,Porto Santo,PT,2022-12-02 02:31:43,33.072,-16.3415,64.78,82,40,14.97
283,Marang,MY,2022-12-02 02:31:43,5.2056,103.2059,81.97,87,100,4.14
284,Pecos,US,2022-12-02 02:30:20,31.4229,-103.4932,50.86,76,0,0.0
